Function _start @ 0x400000
IRSB {
   t0:Ity_I32 t1:Ity_I32 t2:Ity_I32 t3:Ity_I32 t4:Ity_I32 t5:Ity_I1 t6:Ity_I32 t7:Ity_I32 t8:Ity_I32 t9:Ity_I32 t10:Ity_I32 t11:Ity_I32 t12:Ity_I32 t13:Ity_I32 t14:Ity_I32 t15:Ity_I32 t16:Ity_I32 t17:Ity_I32 t18:Ity_I32 t19:Ity_I32 t20:Ity_I32 t21:Ity_I1 t22:Ity_I32 t23:Ity_I32 t24:Ity_I32 t25:Ity_I32 t26:Ity_I32 t27:Ity_I32 t28:Ity_I32 t29:Ity_I32 t30:Ity_I32 t31:Ity_I32 t32:Ity_I32 t33:Ity_I32 t34:Ity_I32 t35:Ity_I32 t36:Ity_I32

   00 | ------ IMark(0x400000, 4, 0) ------
   01 | t8 = GET:I32(cc_op)
   02 | t7 = Or32(t8,0x00000040)
   03 | t9 = GET:I32(cc_dep1)
   04 | t10 = GET:I32(cc_dep2)
   05 | t11 = GET:I32(cc_ndep)
   06 | t12 = armg_calculate_condition(t7,t9,t10,t11):Ity_I32
   07 | t18 = armg_calculate_flag_v(t8,t9,t10,t11):Ity_I32
   08 | t20 = GET:I32(lr)
   09 | t21 = CmpNE32(t12,0x00000000)
   10 | t19 = ITE(t21,0xfff4bfff,t20)
   11 | PUT(lr) = t19
   12 | t22 = ITE(t21,0x00000005,t8)
   13 | PUT(cc_op) = t22
   14 | t24 = ITE(t21,0xfff4bfff,t9)
   15 | PUT(cc_dep1) = t24
   16 | t26 = ITE(t21,0x00000000,t10)
   17 | PUT(cc_dep2) = t26
   18 | t28 = ITE(t21,t18,t11)
   19 | PUT(cc_ndep) = t28
   20 | ------ IMark(0x400004, 0, 0) ------
   NEXT: PUT(pc) = 0x00400004; Ijk_NoDecode
}

Function sub_400007 @ 0x400007
IRSB {
   t0:Ity_I32 t1:Ity_I32 t2:Ity_I32 t3:Ity_I32 t4:Ity_I32 t5:Ity_I32 t6:Ity_I32 t7:Ity_I32 t8:Ity_I32 t9:Ity_I32 t10:Ity_I32 t11:Ity_I32 t12:Ity_I32 t13:Ity_I32 t14:Ity_I32 t15:Ity_I32 t16:Ity_I32 t17:Ity_I32 t18:Ity_I32 t19:Ity_I32 t20:Ity_I32 t21:Ity_I32 t22:Ity_I32 t23:Ity_I32 t24:Ity_I32 t25:Ity_I32 t26:Ity_I32 t27:Ity_I32 t28:Ity_I1 t29:Ity_I32 t30:Ity_I32 t31:Ity_I32 t32:Ity_I32 t33:Ity_I32 t34:Ity_I32 t35:Ity_I32 t36:Ity_I32 t37:Ity_I32 t38:Ity_I32 t39:Ity_I32 t40:Ity_I32 t41:Ity_I32 t42:Ity_I32 t43:Ity_I32 t44:Ity_I32 t45:Ity_I1 t46:Ity_I32 t47:Ity_I32 t48:Ity_I32 t49:Ity_I32 t50:Ity_I32 t51:Ity_I32 t52:Ity_I1 t53:Ity_I32 t54:Ity_I32 t55:Ity_I32 t56:Ity_I32 t57:Ity_I32 t58:Ity_I32 t59:Ity_I32 t60:Ity_I32 t61:Ity_I32 t62:Ity_I1 t63:Ity_I32 t64:Ity_I32 t65:Ity_I32 t66:Ity_I32 t67:Ity_I32 t68:Ity_I32 t69:Ity_I32 t70:Ity_I1 t71:Ity_I32 t72:Ity_I32 t73:Ity_I32 t74:Ity_I32 t75:Ity_I32 t76:Ity_I32 t77:Ity_I32 t78:Ity_I32 t79:Ity_I32 t80:Ity_I1 t81:Ity_I32 t82:Ity_I32 t83:Ity_I32 t84:Ity_I32 t85:Ity_I32 t86:Ity_I32 t87:Ity_I32 t88:Ity_I1 t89:Ity_I32 t90:Ity_I32 t91:Ity_I32 t92:Ity_I32 t93:Ity_I32 t94:Ity_I32 t95:Ity_I32 t96:Ity_I32 t97:Ity_I32 t98:Ity_I1 t99:Ity_I32 t100:Ity_I32 t101:Ity_I32 t102:Ity_I32 t103:Ity_I32 t104:Ity_I32 t105:Ity_I32 t106:Ity_I32 t107:Ity_I32 t108:Ity_I32 t109:Ity_I32 t110:Ity_I32 t111:Ity_I32 t112:Ity_I32 t113:Ity_I32 t114:Ity_I32 t115:Ity_I32 t116:Ity_I32 t117:Ity_I32 t118:Ity_I32 t119:Ity_I1 t120:Ity_I32 t121:Ity_I32 t122:Ity_I32 t123:Ity_I1 t124:Ity_I32 t125:Ity_I32 t126:Ity_I32 t127:Ity_I32 t128:Ity_I32 t129:Ity_I32 t130:Ity_I1 t131:Ity_I32

   00 | ------ IMark(0x400006, 2, 1) ------
   01 | t0 = GET:I32(itstate)
   02 | t1 = Shr32(t0,0x08)
   03 | t38 = And32(t0,0x000000f0)
   04 | t37 = Xor32(t38,0x000000e0)
   05 | t39 = GET:I32(cc_op)
   06 | t36 = Or32(t39,t37)
   07 | t40 = GET:I32(cc_dep1)
   08 | t41 = GET:I32(cc_dep2)
   09 | t42 = GET:I32(cc_ndep)
   10 | t43 = armg_calculate_condition(t36,t40,t41,t42):Ity_I32
   11 | t45 = CmpNE32(t38,0x00000000)
   12 | t44 = ITE(t45,t43,0x00000001)
   13 | t50 = GET:I32(sp)
   14 | t49 = Add32(t50,0x00000120)
   15 | t51 = GET:I32(r1)
   16 | t52 = CmpNE32(t44,0x00000000)
   17 | if (t52) STle(t49) = t51
   18 | ------ IMark(0x400008, 2, 1) ------
   19 | t7 = Shr32(t1,0x08)
   20 | t55 = And32(t1,0x000000f0)
   21 | t54 = Xor32(t55,0x000000e0)
   22 | t53 = Or32(t39,t54)
   23 | t60 = armg_calculate_condition(t53,t40,t41,t42):Ity_I32
   24 | t62 = CmpNE32(t55,0x00000000)
   25 | t61 = ITE(t62,t60,0x00000001)
   26 | t68 = Sub32(t50,0x0000000c)
   27 | t70 = CmpNE32(t61,0x00000000)
   28 | t66 = ITE(t70,t68,t50)
   29 | PUT(sp) = t66
   30 | ------ IMark(0x40000a, 2, 1) ------
   31 | t13 = Shr32(t7,0x08)
   32 | t73 = And32(t7,0x000000f0)
   33 | t72 = Xor32(t73,0x000000e0)
   34 | t71 = Or32(t39,t72)
   35 | t78 = armg_calculate_condition(t71,t40,t41,t42):Ity_I32
   36 | t80 = CmpNE32(t73,0x00000000)
   37 | t79 = ITE(t80,t78,0x00000001)
   38 | t85 = GET:I32(r9)
   39 | t84 = Add32(t85,0x0040000e)
   40 | t88 = CmpNE32(t79,0x00000000)
   41 | t86 = ITE(t88,t84,t85)
   42 | PUT(r9) = t86
   43 | ------ IMark(0x40000c, 2, 1) ------
   44 | t20 = Shr32(t13,0x08)
   45 | t91 = And32(t13,0x000000f0)
   46 | t90 = Xor32(t91,0x000000e0)
   47 | t89 = Or32(t39,t90)
   48 | t96 = armg_calculate_condition(t89,t40,t41,t42):Ity_I32
   49 | t98 = CmpNE32(t91,0x00000000)
   50 | t97 = ITE(t98,t96,0x00000001)
   51 | t25 = GET:I32(r0)
   52 | t28 = CmpNE32(t97,0x00000000)
   53 | t102 = ITE(t28,0x00000002,t39)
   54 | PUT(cc_op) = t102
   55 | t104 = ITE(t28,t25,t40)
   56 | PUT(cc_dep1) = t104
   57 | t106 = ITE(t28,0x00000000,t41)
   58 | PUT(cc_dep2) = t106
   59 | t108 = ITE(t28,0x00000000,t42)
   60 | PUT(cc_ndep) = t108
   61 | PUT(pc) = 0x0040000f
   62 | ------ IMark(0x40000e, 2, 1) ------
   63 | t30 = Shr32(t20,0x08)
   64 | PUT(itstate) = t20
   65 | t123 = CmpNE32(t20,0x00000000)
   66 | if (t123) { PUT(pc) = 0x40000f; Ijk_NoDecode }
   67 | PUT(itstate) = t30
   68 | t129 = armg_calculate_condition(t102,t104,t106,t108):Ity_I32
   69 | t130 = 32to1(t129)
   70 | if (t130) { PUT(pc) = 0x4000d7; Ijk_Boring }
   NEXT: PUT(pc) = 0x00400011; Ijk_Boring
}

IRSB {
